From,To,Route,Summer_2022,Winter_2022_23,Summer_2023,Winter_2023_24,Latitude_Start,Longitude_Start,Country_Start,LandPart_Start,Distance_to_coastline_Start,GDP_per_capita_2021_Start,Population_50km_Start,Latitude_End,Longitude_End,Country_End,LandPart_End,Distance_to_coastline_End,GDP_per_capita_2021_End,Population_50km_End,Alternative_available,Immigrants_in_End_from_Start,Immigrants_in_Start_from_End,Route_distance,Tourist_Atractiveness,Economic_Atractiveness,Family_travel_Atractiveness,Latitude_min,GDP_per_capita_2021_min,GDP_per_capita_2021_max,Distance_to_coastline_min,Population_50km_max,Population_50km_min,Both_Summers,Both_Winters,Both_Summers_weekly,Both_Winters_weekly
Zagreb (ZAG),Podgorica (TGD),Zagreb (ZAG) - Podgorica (TGD),62,42,62,0,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,42.35939,19.25189,Montenegro,1,29.58166141,8000,551030.428,1,16000,6000,454.6022979,0.878790684,0.10958197,0.011627346,42.35939,8000,12600,42.35939,1407776.53,551030.428,124,42,1.9375,1.05
London (STN),Rzeszow (RZE),London (STN) - Rzeszow (RZE),258,147,216,152,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,50.109951,22.018999,Poland,1,483.0804578,12800,1255292.239,0,46000,836000,1533.105301,0.409074222,0.309081901,0.281843876,50.109951,12800,30698,50.109951,8082506.783,1255292.239,474,299,7.40625,7.475
Rzeszow (RZE),London (STN),Rzeszow (RZE) - London (STN),256,147,216,152,50.109951,22.018999,Poland,1,483.0804578,12800,1255292.239,51.884998,0.235,United Kingdom,2,35.23390898,30698,8082506.783,0,836000,46000,1533.105301,0.409074222,0.309081901,0.281843876,50.109951,12800,30698,50.109951,8082506.783,1255292.239,472,299,7.375,7.475
Podgorica (TGD),Zagreb (ZAG),Podgorica (TGD) - Zagreb (ZAG),62,42,62,0,42.35939,19.25189,Montenegro,1,29.58166141,8000,551030.428,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,1,6000,16000,454.6022979,0.878790684,0.10958197,0.011627346,42.35939,8000,12600,42.35939,1407776.53,551030.428,124,42,1.9375,1.05
Manchester (MAN),Krakow (KRK),Manchester (MAN) - Krakow (KRK),173,109,141,136,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,50.077728,19.78483,Poland,1,453.0006045,11200,2514042.449,0,46000,836000,1557.780832,0.408803383,0.311402347,0.27979427,50.077728,11200,53214,50.077728,6629384.467,2514042.449,314,245,4.90625,6.125
Krakow (KRK),Manchester (MAN),Krakow (KRK) - Manchester (MAN),171,108,141,135,50.077728,19.78483,Poland,1,453.0006045,11200,2514042.449,53.353741,-2.27495,United Kingdom,2,22.87889375,53214,6629384.467,0,836000,46000,1557.780832,0.408803383,0.311402347,0.27979427,50.077728,11200,53214,50.077728,6629384.467,2514042.449,312,243,4.875,6.075
Palma de Mallorca (PMI),Nuremberg (NUE),Palma de Mallorca (PMI) - Nuremberg (NUE),549,125,499,146,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,49.498699,11.06689,Germany,1,424.5012773,63700,2057456.236,0,186000,201000,1287.800733,0.616856575,0.234867034,0.148276391,39.55167,26600,63700,39.55167,2057456.236,906926.6876,1048,271,16.375,6.775
Nuremberg (NUE),Palma de Mallorca (PMI),Nuremberg (NUE) - Palma de Mallorca (PMI),544,124,499,147,49.498699,11.06689,Germany,1,424.5012773,63700,2057456.236,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,0,201000,186000,1287.800733,0.616856575,0.234867034,0.148276391,39.55167,26600,63700,39.55167,2057456.236,906926.6876,1043,271,16.296875,6.775
Porto (OPO),Venice (TSF),Porto (OPO) - Venice (TSF),62,42,62,43,41.248051,-8.68138,Portugal,1,3.644933956,20200,2816726.104,45.648399,12.19442,Italy,1,29.2237825,35100,2976787.329,1,7000,3000,1751.13364,0.754091208,0.241592616,0.004316177,41.248051,20200,35100,41.248051,2976787.329,2816726.104,124,85,1.9375,2.125
Venice (TSF),Porto (OPO),Venice (TSF) - Porto (OPO),62,42,62,42,45.648399,12.19442,Italy,1,29.2237825,35100,2976787.329,41.248051,-8.68138,Portugal,1,3.644933956,20200,2816726.104,1,3000,7000,1751.13364,0.754091208,0.241592616,0.004316177,41.248051,20200,35100,41.248051,2976787.329,2816726.104,124,84,1.9375,2.1
Birmingham (BHX),Palma de Mallorca (PMI),Birmingham (BHX) - Palma de Mallorca (PMI),300,0,321,51,52.45385,-1.74802,United Kingdom,2,100.9216491,44287,5646238.751,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,0,303000,151000,1476.892857,0.556958162,0.285925525,0.157116313,39.55167,26600,44287,39.55167,5646238.751,906926.6876,621,51,9.703125,1.275
Naples (NAP),Zadar (ZAD),Naples (NAP) - Zadar (ZAD),35,0,0,0,40.886028,14.29078,Italy,1,4.814727265,20400,4865825.823,44.108261,15.34669,Croatia,1,6.196562882,13000,191415.8921,1,3000,22000,369.023619,0.726598522,0.26262875,0.010772728,40.886028,13000,20400,40.886028,4865825.823,191415.8921,35,0,0.546875,0
